# MNE-Annotations
# orig_time : 2021-01-01 10:14:48
# onset, duration, description
1475.725,0.0,photic_stimulation/5
1475.775,0.0,photic_stimulation/5
1475.825,0.0,photic_stimulation/5
1475.875,0.0,photic_stimulation/5
1475.925,0.0,photic_stimulation/5
1475.975,0.0,photic_stimulation/5
1476.025,0.0,photic_stimulation/5
1476.075,0.0,photic_stimulation/5
1476.125,0.0,photic_stimulation/5
1476.175,0.0,photic_stimulation/5
1476.225,0.0,photic_stimulation/5
1476.275,0.0,photic_stimulation/5
1476.325,0.0,photic_stimulation/5
1476.375,0.0,photic_stimulation/5
1476.425,0.0,photic_stimulation/5
1476.475,0.0,photic_stimulation/5
1476.525,0.0,photic_stimulation/5
1476.575,0.0,photic_stimulation/5
1476.625,0.0,photic_stimulation/5
1476.675,0.0,photic_stimulation/5
1481.71,0.0,photic_stimulation/5
1481.75,0.0,photic_stimulation/5
1481.79,0.0,photic_stimulation/5
1481.83,0.0,photic_stimulation/5
1481.87,0.0,photic_stimulation/5
1481.915,0.0,photic_stimulation/5
1481.95,0.0,photic_stimulation/5
1481.99,0.0,photic_stimulation/5
1482.03,0.0,photic_stimulation/5
1482.075,0.0,photic_stimulation/5
1482.11,0.0,photic_stimulation/5
1482.15,0.0,photic_stimulation/5
1482.19,0.0,photic_stimulation/5
1482.235,0.0,photic_stimulation/5
1482.27,0.0,photic_stimulation/5
1482.31,0.0,photic_stimulation/5
1482.35,0.0,photic_stimulation/5
1482.395,0.0,photic_stimulation/5
1482.43,0.0,photic_stimulation/5
1482.47,0.0,photic_stimulation/5
1482.51,0.0,photic_stimulation/5
1482.555,0.0,photic_stimulation/5
1482.59,0.0,photic_stimulation/5
1482.63,0.0,photic_stimulation/5
1482.67,0.0,photic_stimulation/5
1482.715,0.0,photic_stimulation/5
1482.75,0.0,photic_stimulation/5
1482.79,0.0,photic_stimulation/5
1482.83,0.0,photic_stimulation/5
1482.875,0.0,photic_stimulation/5
1482.91,0.0,photic_stimulation/5
1482.95,0.0,photic_stimulation/5
1482.99,0.0,photic_stimulation/5
1483.035,0.0,photic_stimulation/5
1483.07,0.0,photic_stimulation/5
1483.11,0.0,photic_stimulation/5
1483.15,0.0,photic_stimulation/5
1483.195,0.0,photic_stimulation/5
1483.23,0.0,photic_stimulation/5
1483.27,0.0,photic_stimulation/5
1483.31,0.0,photic_stimulation/5
1483.35,0.0,photic_stimulation/5
1483.39,0.0,photic_stimulation/5
1483.43,0.0,photic_stimulation/5
1483.47,0.0,photic_stimulation/5
1483.51,0.0,photic_stimulation/5
1483.555,0.0,photic_stimulation/5
1483.59,0.0,photic_stimulation/5
1483.63,0.0,photic_stimulation/5
1483.67,0.0,photic_stimulation/5
1483.715,0.0,photic_stimulation/5
1483.75,0.0,photic_stimulation/5
1483.79,0.0,photic_stimulation/5
1483.83,0.0,photic_stimulation/5
1483.875,0.0,photic_stimulation/5
1483.91,0.0,photic_stimulation/5
1483.95,0.0,photic_stimulation/5
1483.99,0.0,photic_stimulation/5
1484.035,0.0,photic_stimulation/5
1484.07,0.0,photic_stimulation/5
1484.115,0.0,photic_stimulation/5
1484.155,0.0,photic_stimulation/5
1484.195,0.0,photic_stimulation/5
1484.235,0.0,photic_stimulation/5
1484.275,0.0,photic_stimulation/5
1484.315,0.0,photic_stimulation/5
1484.355,0.0,photic_stimulation/5
1484.395,0.0,photic_stimulation/5
1484.435,0.0,photic_stimulation/5
1484.475,0.0,photic_stimulation/5
1484.515,0.0,photic_stimulation/5
1484.555,0.0,photic_stimulation/5
1484.595,0.0,photic_stimulation/5
1484.635,0.0,photic_stimulation/5
1484.675,0.0,photic_stimulation/5
1484.715,0.0,photic_stimulation/5
1484.755,0.0,photic_stimulation/5
